Entity,year,deaths_per_million
Canada,2020,383.36138088260003
Canada,2021,386.40831292
Canada,2022,487.32503478
Canada,2023,105.22585148
France,2020,974.57029966
France,2021,954.56326934
France,2022,586.01123429
France,2023,95.10783872
Germany,2020,539.5745204252
Germany,2021,857.877888196
Germany,2022,573.57618263
Germany,2023,108.996957946
India,2020,103.75745578852
India,2021,233.187188798
India,2022,35.3637329512
India,2023,0.8351404353
United Kingdom,2020,1337.795777189
United Kingdom,2021,1249.64587794
United Kingdom,2022,577.07699711
United Kingdom,2023,183.38406617
United States,2020,1009.2970110923
United States,2021,1375.30444586
United States,2022,789.72236757
United States,2023,144.35289716
